City,Restaurant,Price,Avg ratings,Total ratings,Delivery time,Chinese,North Indian,Indian,Fast Food,Beverages,Desserts,Biryani,Snacks,South Indian,Continental
3,Marrakesh,300.0,4.0,100,46,0,1,1,0,0,1,1,0,0,0
1,Keshav Reddy Sweets,150.0,4.2,500,65,0,0,0,1,0,1,0,0,0,0
4,Kimli,600.0,4.4,100,69,1,0,0,0,0,0,0,0,0,0
3,Prem'S,1200.0,4.2,100,53,1,1,1,0,1,1,0,0,0,1
3,The Chocolate Room,450.0,2.9,80,39,0,0,0,1,0,1,0,0,0,1
3,Uncle'S Chinese,350.0,4.1,1000,55,1,0,0,0,0,0,0,0,0,0
0,House Of Kebab'S,500.0,3.7,50,51,1,1,1,0,0,0,1,0,0,0
1,Oh So Stoned,300.0,3.9,100,68,0,0,0,0,0,1,0,0,0,0
3,Zest Cafe Bar,250.0,4.2,20,57,1,0,0,1,0,0,0,0,0,0
3,Seven - Shawarma And Burgers,250.0,3.9,100,51,0,0,0,1,0,0,0,1,0,0
3,Aroma'S Hyderabad House - Karve Road,400.0,4.2,500,35,1,1,1,0,0,0,1,0,0,0
1,Grand Hotel,300.0,4.1,10000,24,1,0,1,0,0,1,1,0,0,0
1,Tipsy Topsy,250.0,3.7,500,39,1,0,0,1,0,1,0,0,0,0
1,Hotel Swagath Grand - Dhanturi Group Of Hotels,300.0,3.9,1000,67,1,1,1,0,0,0,1,0,1,0
1,Hotel Sitara Grand - Dhanturi Group Of Hotels,300.0,3.8,1000,70,1,1,1,0,0,0,1,0,1,0
1,Nakshatra Inn Multi Cuisine Restaurant,300.0,3.8,100,52,1,1,1,0,0,0,1,0,1,0
1,Mehfil,300.0,3.9,10000,25,1,0,1,0,0,1,1,0,0,0
3,The Burger Barn Cafe,300.0,4.1,100,46,0,0,0,1,0,0,0,0,0,0
4,Sip & Sandwich,300.0,2.9,80,60,0,0,0,1,1,0,0,0,0,0
4,Shiraz Golden Restaurant,500.0,4.4,1000,52,0,1,1,0,0,0,1,0,0,0
4,Mocambo,1500.0,4.4,1000,62,0,1,1,0,0,0,1,0,0,1
4,The Scoop,400.0,4.1,100,70,1,1,1,1,0,0,0,0,1,0
4,Kaafila,1600.0,3.9,50,71,0,1,1,0,0,0,0,0,0,0
